kategorie,episode,MMM-Forum-Link,wiki_url,Wiki-AT-Link Fixed,AT-Forum-Link (neu),AT-Forum-Link (alt),Longplay-Link
MMM-Episodenführer,Episode 65: Save Smiley!,https://www.maniac-mansion-mania.de/forum/index.php?topic=530.0,http://wiki.maniac-mansion-mania.de/wiki/Save_Smiley!,,https://www.adventure-treff.de/forum/topic/12098,http://www.adventure-treff.de/forum/viewtopic.php?f=16&t=12098,https://www.youtube.com/watch?v=snesip3zroU&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=96
MMM-Episodenführer,Episode 66: Hoagies neuer Freund,https://www.maniac-mansion-mania.de/forum/index.php?topic=532.0,http://wiki.maniac-mansion-mania.de/wiki/Hoagies_neuer_Freund,,https://www.adventure-treff.de/forum/topic/12100,http://www.adventure-treff.de/forum/viewtopic.php?f=16&t=12100,https://www.youtube.com/watch?v=narSZwtiN5A&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=97
MMM-Episodenführer,Episode 67: Die Schöne und das Biest,https://www.maniac-mansion-mania.de/forum/index.php?topic=658.0,http://wiki.maniac-mansion-mania.de/wiki/Die_Sch%C3%B6ne_und_das_Biest,,https://www.adventure-treff.de/forum/topic/12366,http://www.adventure-treff.de/forum/viewtopic.php?f=16&t=12366,https://www.youtube.com/watch?v=_kK-HJq97UU&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=99
MMM-Episodenführer,Episode 68: MaMMa ante Portas,https://www.maniac-mansion-mania.de/forum/index.php?topic=693.0,http://wiki.maniac-mansion-mania.de/wiki/MaMMa_ante_Portas,,https://www.adventure-treff.de/forum/topic/12397,http://www.adventure-treff.de/forum/viewtopic.php?f=16&t=12397,https://www.youtube.com/watch?v=Na7BmiFk6N0&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=100
MMM-Episodenführer,Episode 69: Samstag,https://www.maniac-mansion-mania.de/forum/index.php?topic=703.0,http://wiki.maniac-mansion-mania.de/wiki/Samstag,,https://www.adventure-treff.de/forum/topic/12406,http://www.adventure-treff.de/forum/viewtopic.php?f=16&t=12406,https://www.youtube.com/watch?v=KEObsICOykQ&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=101
MMM-Episodenführer,Episode 70: Maniac Mansion Begins,https://www.maniac-mansion-mania.de/forum/index.php?topic=713.0,http://wiki.maniac-mansion-mania.de/wiki/Maniac_Mansion_Begins,,https://www.adventure-treff.de/forum/topic/12413,http://www.adventure-treff.de/forum/viewtopic.php?f=16&t=12413,https://www.youtube.com/watch?v=DiApXKVudOM&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=102
MMM-Episodenführer,Episode 71: Neue Abenteuer auf Terra,https://www.maniac-mansion-mania.de/forum/index.php?topic=719.0,http://wiki.maniac-mansion-mania.de/wiki/Neue_Abenteuer_auf_Terra,,https://www.adventure-treff.de/forum/topic/12431,http://www.adventure-treff.de/forum/viewtopic.php?f=16&t=12431,https://www.youtube.com/watch?v=dewSFWZSJYg&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=104
MMM-Episodenführer,Episode 72: Mindbending TV,https://www.maniac-mansion-mania.de/forum/index.php?topic=960.0,http://wiki.maniac-mansion-mania.de/wiki/Mindbending_TV,,https://www.adventure-treff.de/forum/topic/13451,http://www.adventure-treff.de/forum/viewtopic.php?f=16&t=13451,https://www.youtube.com/watch?v=rtbghs_s90U&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=105
MMM-Episodenführer,Episode 73: Even a broken clock,https://www.maniac-mansion-mania.de/forum/index.php?topic=1019.0,http://wiki.maniac-mansion-mania.de/wiki/Even_a_broken_clock,,https://www.adventure-treff.de/forum/topic/13902,http://www.adventure-treff.de/forum/viewtopic.php?f=16&t=13902,https://www.youtube.com/watch?v=Aabp_C8y5DI&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=106
MMM-Episodenführer,Episode 74: Ted Edison and the Curse of King Rooten Tooten,https://www.maniac-mansion-mania.de/forum/index.php?topic=1053.0,http://wiki.maniac-mansion-mania.de/wiki/Ted_Edison_and_the_Curse_of_King_RootenTooten,,https://www.adventure-treff.de/forum/topic/14010,http://www.adventure-treff.de/forum/viewtopic.php?f=16&t=14010,https://www.youtube.com/watch?v=tgj9t4-zmmI&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=107
